Song,Artist,query_idx,channel_artist_same,video_title,video_channel,video_url
Lautlos feat. Voice & Musicians of the 17 Hippies (!Dela Dap Remix4Club),!Dela Dap,2,False,lautlos - !deladap / 17 hippies,boneless,https://www.youtube.com/watch?v=8Rl6PY_tSFA
Skadero feat. Leonsia Erdenko,!Dela Dap,0,False,skadero,deladap - topic,https://www.youtube.com/watch?v=2aqPhq5A5UY
Skadero feat. Leonsia Erdenko,!Dela Dap,2,False,gadze,deladap - topic,https://www.youtube.com/watch?v=o8KeLgJW8Xw
Skadero feat. Leonsia Erdenko,!Dela Dap,3,False,ave shavo sas,deladap - topic,https://www.youtube.com/watch?v=3Uead8C0z5I
Intro,!Dela Dap,1,False,intro,deladap,https://www.youtube.com/watch?v=fwRE2HeAukQ
Intro,!Dela Dap,3,False,dela dap (the song),deladap,https://www.youtube.com/watch?v=R2rW1jf9zBQ
Intro,!Dela Dap,5,False,georgian lessons 1-6,deladap,https://www.youtube.com/watch?v=84E36EVmI_k
Intro,!Dela Dap,8,False,!deladap - ave shavo sas  (2006),panagiotis skamnakis,https://www.youtube.com/watch?v=JP8b9GHe2Ss
Intro,!Dela Dap,9,False,gadze,deladap,https://www.youtube.com/watch?v=o8KeLgJW8Xw
Amaro Shavo (Radio Edit),!Dela Dap,8,False,deladap-goldreggen,maría fernanda,https://www.youtube.com/watch?v=L9OvdZYjdnQ
Amaro Shavo (Radio Edit),!Dela Dap,9,False,zsa manca,deladap,https://www.youtube.com/watch?v=5VGRQAOAgG0
Gadze feat. Leonsia Erdenko & Martin Lubenov,!Dela Dap,0,False,gadze,deladap,https://www.youtube.com/watch?v=o8KeLgJW8Xw
Lautlos feat. Voice & Musicians of the 17 Hippies ([dunkelbunt]-Remix),!Dela Dap,2,False,lautlos - !deladap / 17 hippies,boneless,https://www.youtube.com/watch?v=8Rl6PY_tSFA
Lautlos feat. Voice & Musicians of the 17 Hippies ([dunkelbunt]-Remix),!Dela Dap,3,False,radost,deladap,https://www.youtube.com/watch?v=9BhFjJWYPhY
Lautlos feat. Voice & Musicians of the 17 Hippies ([dunkelbunt]-Remix),!Dela Dap,4,False,[dunkelbunt] - n.d.w.,dunkelbunt music,https://www.youtube.com/watch?v=VA7tWHqN0mw
